g, E, uncert
-1, 0.5241493,0.0037028044117037337
-.75, 0.66411376,0.0020510895994981185
-.5,0.7860392,0.0016669911141849387
-.45,0.8066685,0.0016401161317498394
-.4,0.8300879,0.001032598351408183
-.35,0.8515232,0.0012815549293843495
-.3,0.87553287,0.0007795377362023338
-.25,0.895158,0.001074150574290218
-.2,0.9188403,0.0007066585151127448
-.15,0.9397694,0.0007057887135744443
-.1,0.96058536,0.0005291254452837692
-.05,0.9799678,0.00047157694586238237
0, 1.0001918, 0.0007275524006650024
.05,1.0213596,0.0010832035991907817
.1,1.0399921,0.0006584429006615714
.15,1.0591549,0.0006684599367294258
.2,1.0777451,0.0008579833951362697
.25, 1.0952774,0.0007096182720248767
.3,1.1140779,0.0009071507914371436
.35,1.1350145,0.001106321876340205
.4,1.1511542,0.001234902230635656
.45,1.1671482,0.0012565239946552838
.5,1.1829027,0.0012874321080744266
.75,1.2645165,0.0020532681835413514
1,1.3400757,0.0020496025601737925
1.25,1.4133642,0.0023772121209913975
1.5,1.4566371,0.003450787187227837
1.75,1.5080954,0.00313275978888382
2,1.5601655,0.006075173184905798
2.25,1.6198597,0.0030096305070822183